block,method,num_agents,obs_radius,seed,isr,csr,makespan
main,A* Only,24,5,90048,0.9166666666666666,0.0,
main,A* Only,24,5,90049,0.9166666666666666,0.0,
main,A* Only,24,5,90050,1.0,1.0,108
main,A* Only,24,5,90051,1.0,1.0,84
main,A* Only,24,5,90052,1.0,1.0,103
main,A* Only,24,5,90053,0.7916666666666666,0.0,
main,A* Only,24,5,90054,0.9166666666666666,0.0,
main,A* Only,24,5,90055,0.9166666666666666,0.0,
main,A* Only,24,5,90056,1.0,1.0,85
main,A* Only,24,5,90057,1.0,1.0,77
main,A* Only,24,5,90058,1.0,1.0,152
main,A* Only,24,5,90059,1.0,1.0,139
main,A* Only,24,5,90060,1.0,1.0,68
main,A* Only,24,5,90061,1.0,1.0,88
main,A* Only,24,5,90062,1.0,1.0,176
main,A* Only,24,5,90063,1.0,1.0,204
main,A* Only,24,5,90064,0.9166666666666666,0.0,
main,A* Only,24,5,90065,1.0,1.0,87
main,A* Only,24,5,90066,1.0,1.0,80
main,A* Only,24,5,90067,0.875,0.0,
main,A* Only,24,5,90068,1.0,1.0,114
main,A* Only,24,5,90069,0.9166666666666666,0.0,
main,A* Only,24,5,90070,1.0,1.0,162
main,A* Only,24,5,90071,1.0,1.0,94
main,A* Only,24,5,90072,0.9166666666666666,0.0,
main,A* Only,24,5,90073,1.0,1.0,126
main,A* Only,24,5,90074,0.9166666666666666,0.0,
main,A* Only,24,5,90075,1.0,1.0,127
main,A* Only,24,5,90076,0.8333333333333334,0.0,
main,A* Only,24,5,90077,0.9166666666666666,0.0,
main,A* Only,24,5,90078,0.9166666666666666,0.0,
main,A* Only,24,5,90079,1.0,1.0,88
main,A* Only,24,5,90080,1.0,1.0,80
main,A* Only,24,5,90081,0.875,0.0,
main,A* Only,24,5,90082,0.8333333333333334,0.0,
main,A* Only,24,5,90083,1.0,1.0,104
main,A* Only,24,5,90084,0.8333333333333334,0.0,
main,A* Only,24,5,90085,0.8333333333333334,0.0,
main,A* Only,24,5,90086,1.0,1.0,120
main,A* Only,24,5,90087,0.75,0.0,
main,A* Only,24,5,90088,1.0,1.0,78
main,A* Only,24,5,90089,1.0,1.0,96
main,A* Only,24,5,90090,0.9166666666666666,0.0,
main,A* Only,24,5,90091,1.0,1.0,120
main,A* Only,24,5,90092,1.0,1.0,70
main,A* Only,24,5,90093,0.9166666666666666,0.0,
main,A* Only,24,5,90094,1.0,1.0,86
main,A* Only,24,5,90095,1.0,1.0,73
main,A* Only,24,5,90096,1.0,1.0,155
main,A* Only,24,5,90097,0.8333333333333334,0.0,
main,A* Only,24,5,90098,0.7083333333333334,0.0,
main,A* Only,24,5,90099,1.0,1.0,135
main,A* Only,32,5,90000,1.0,1.0,88
main,A* Only,32,5,90001,0.875,0.0,
main,A* Only,32,5,90002,1.0,1.0,88
main,A* Only,32,5,90003,1.0,1.0,96
main,A* Only,32,5,90004,1.0,1.0,237
main,A* Only,32,5,90005,0.9375,0.0,
main,A* Only,32,5,90006,1.0,1.0,171
main,A* Only,32,5,90007,1.0,1.0,77
main,A* Only,32,5,90008,0.9375,0.0,
main,A* Only,32,5,90009,0.9375,0.0,
main,A* Only,32,5,90010,0.96875,0.0,
main,A* Only,32,5,90011,1.0,1.0,104
main,A* Only,32,5,90012,0.9375,0.0,
main,A* Only,32,5,90013,0.9375,0.0,
main,A* Only,32,5,90014,0.875,0.0,
main,A* Only,32,5,90015,0.9375,0.0,
main,A* Only,32,5,90016,1.0,1.0,155
main,A* Only,32,5,90017,1.0,1.0,122
main,A* Only,32,5,90018,0.875,0.0,
main,A* Only,32,5,90019,0.9375,0.0,
main,A* Only,32,5,90020,1.0,1.0,94
main,A* Only,32,5,90021,1.0,1.0,150
main,A* Only,32,5,90022,1.0,1.0,92
main,A* Only,32,5,90023,0.9375,0.0,
main,A* Only,32,5,90024,1.0,1.0,118
main,A* Only,32,5,90025,0.9375,0.0,
main,A* Only,32,5,90026,0.9375,0.0,
main,A* Only,32,5,90027,0.9375,0.0,
main,A* Only,32,5,90028,0.9375,0.0,
main,A* Only,32,5,90029,1.0,1.0,93
main,A* Only,32,5,90030,0.90625,0.0,
main,A* Only,32,5,90031,1.0,1.0,116
main,A* Only,32,5,90032,1.0,1.0,95
main,A* Only,32,5,90033,0.9375,0.0,
main,A* Only,32,5,90034,0.9375,0.0,
main,A* Only,32,5,90035,0.9375,0.0,
main,A* Only,32,5,90036,0.9375,0.0,
main,A* Only,32,5,90037,0.6875,0.0,
main,A* Only,32,5,90038,1.0,1.0,115
main,A* Only,32,5,90039,1.0,1.0,115
main,A* Only,32,5,90040,1.0,1.0,130
main,A* Only,32,5,90041,0.9375,0.0,
main,A* Only,32,5,90042,1.0,1.0,76
main,A* Only,32,5,90043,0.90625,0.0,
main,A* Only,32,5,90044,0.90625,0.0,
main,A* Only,32,5,90045,1.0,1.0,95
main,A* Only,32,5,90046,1.0,1.0,112
main,A* Only,32,5,90047,1.0,1.0,150
main,A* Only,32,5,90048,0.9375,0.0,
main,A* Only,32,5,90049,1.0,1.0,142
main,A* Only,32,5,90050,1.0,1.0,118
main,A* Only,32,5,90051,1.0,1.0,99
main,A* Only,32,5,90052,0.9375,0.0,
main,A* Only,32,5,90053,0.9375,0.0,
main,A* Only,32,5,90054,0.9375,0.0,
main,A* Only,32,5,90055,1.0,1.0,188
main,A* Only,32,5,90056,1.0,1.0,112
main,A* Only,32,5,90057,0.875,0.0,
main,A* Only,32,5,90058,1.0,1.0,171
main,A* Only,32,5,90059,0.9375,0.0,
main,A* Only,32,5,90060,1.0,1.0,127
main,A* Only,32,5,90061,0.9375,0.0,
main,A* Only,32,5,90062,0.8125,0.0,
main,A* Only,32,5,90063,1.0,1.0,180
main,A* Only,32,5,90064,1.0,1.0,124
main,A* Only,32,5,90065,0.84375,0.0,
main,A* Only,32,5,90066,1.0,1.0,147
main,A* Only,32,5,90067,0.9375,0.0,
main,A* Only,32,5,90068,1.0,1.0,131
main,A* Only,32,5,90069,1.0,1.0,120
main,A* Only,32,5,90070,0.84375,0.0,
main,A* Only,32,5,90071,1.0,1.0,125
main,A* Only,32,5,90072,1.0,1.0,114
main,A* Only,32,5,90073,1.0,1.0,217
main,A* Only,32,5,90074,1.0,1.0,129
main,A* Only,32,5,90075,0.90625,0.0,
main,A* Only,32,5,90076,1.0,1.0,135
main,A* Only,32,5,90077,1.0,1.0,154
main,A* Only,32,5,90078,1.0,1.0,128
main,A* Only,32,5,90079,0.9375,0.0,
main,A* Only,32,5,90080,0.9375,0.0,
main,A* Only,32,5,90081,1.0,1.0,188
main,A* Only,32,5,90082,0.90625,0.0,
main,A* Only,32,5,90083,0.875,0.0,
main,A* Only,32,5,90084,0.90625,0.0,
main,A* Only,32,5,90085,0.75,0.0,
main,A* Only,32,5,90086,0.9375,0.0,
main,A* Only,32,5,90087,0.9375,0.0,
